Gemeente,Jaar,Naam bibliotheek locaties,Type,Straat bibliotheek locaties,Huisnummer bibliotheek locaties,Postcode bibltiotheek locaties
Aalst,2017,Filiaal Erembodegem,Bedieningspunt,Gaston De schepperstraat,11,9320
Aalst,2017,Filiaal Herdersem,Bedieningspunt,Kouterbaan,11,9310
Aalst,2017,Filiaal Nieuwerkerken,Bedieningspunt,Schoolstraat,2,9320
Aalst,2017,Filiaal Terlinden,Bedieningspunt,Square Jacques Geerinckx,2,9300
Aalst,2017,Utopia - Hoofdbibliotheek AALST,Hoofdbibliotheek,Utopia,1,9300
Aalst,2016,Filiaal Erembodegem,Bedieningspunt,Gaston De schepperstraat,11,9320
Aalst,2016,Filiaal Herdersem,Bedieningspunt,Kouterbaan,11,9310
Aalst,2016,Filiaal Nieuwerkerken,Bedieningspunt,Schoolstraat,2,9320
Aalst,2016,Filiaal Terlinden,Bedieningspunt,Square Jacques Geerinckx,2,9300
Aalst,2016,Utopia - Hoofdbibliotheek AALST,Hoofdbibliotheek,Utopia,1,9300
Aalst,2015,Filiaal Erembodegem,Bedieningspunt,Gaston De schepperstraat,11,9320
Aalst,2015,Filiaal Herdersem,Bedieningspunt,Kouterbaan,11,9310
Aalst,2015,Filiaal Nieuwerkerken,Bedieningspunt,Schoolstraat,2,9320
Aalst,2015,Filiaal Terlinden,Bedieningspunt,Square Jacques Geerinckx,2,9300
Aalst,2015,Utopia - Hoofdbibliotheek AALST,Hoofdbibliotheek,Utopia,1,9300
Aalst,2014,Filiaal Erembodegem,Bedieningspunt,Gaston De schepperstraat,11,9320
Aalst,2014,Filiaal Herdersem,Bedieningspunt,Kouterbaan,11,9310
Aalst,2014,Filiaal Nieuwerkerken,Bedieningspunt,Schoolstraat,2,9320
Aalst,2014,Filiaal Terlinden,Bedieningspunt,Square Jacques Geerinckx,2,9300
Aalst,2014,Utopia - Hoofdbibliotheek AALST,Hoofdbibliotheek,Utopia,1,9300
Aalst,2013,Filiaal Erembodegem,Bedieningspunt,Gaston De schepperstraat,11,9320
Aalst,2013,Filiaal Herdersem,Bedieningspunt,Kouterbaan,11,9310
